ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2022-06,2022,06,2,24.178571428571423,26.3514455357143,29.1785714285714,65.4732522857143,80.54795003571428,92.08430592857144,1,29146,427,0.28788795,1.7155013,0.6773461675,0,0,0
2022-07,2022,07,1,24.0,26.335613857142857,29.257142857142885,61.74451745714286,77.65293065714287,89.72121200000001,1,29146,427,0.14071812,0.68620052,0.39432806,0,0,0
2022-08,2022,08,0,23.928571428571423,26.63220125,29.785714285714274,53.97036985714288,72.1362632857143,84.10253835714285,1,29146,427,0.0,0.0,0.0,0,0,0
2022-09,2022,09,3,25.10714285714285,27.055933,29.75,57.181049964285705,72.1827102857143,83.30027335714287,1,29146,427,0.598886875,2.57325195,5.8348703749999995,0,0,0
2022-10,2022,10,3,25.542857142857162,27.72119262857142,30.600000000000016,56.315765799999994,72.29476585714286,83.8527285142857,1,29146,427,0.26489493999999997,2.05860152,0.70894358,0,0,0
2022-11,2022,11,2,26.0,27.644119749999998,29.928571428571452,61.4852287857143,73.20463821428572,82.80991785714286,1,29146,427,0.2384772,1.71550125,2.3137525,0,0,0
2022-12,2022,12,2,25.720238095238074,27.5666576309524,29.958333333333325,61.57372865476192,73.73014766666665,83.1541032559524,1,29146,427,0.425835525,1.7155013,2.363609675,0,0,0
2023-01,2023,01,0,26.514285714285723,27.39047617142856,28.5142857142857,73.73572891428572,79.29088397142856,84.03864951428572,1,29146,427,0.0,0.0,0.0,0,0,0
2023-02,2023,02,0,26.74403467908905,27.2057458448499,27.8518245341615,79.17966773891048,82.53474052004401,85.28476572475411,1,25813,427,0.0,0.0,0.0,0,0,0
2023-03,2023,03,6,25.892730186480176,26.83044031031467,27.918924825174823,78.77972621500585,84.6467484243007,89.55838241439395,1,25813,427,0.2493923,5.8110255,4.6304045,0,0,0
2023-04,2023,04,10,25.21999999999998,27.0669047542857,29.57428571428572,71.72389325142856,84.21925860571426,93.22844565142856,2,25813,427,0.52653211,7.748034,1.675678134,1,0,0
2023-05,2023,05,1,26.78512987012988,27.73080625324675,28.809220779220777,75.97661119149353,82.2391768574026,87.51978851649352,1,25813,427,0.0718841,0.96850425,0.13902919,0,0,0
2023-06,2023,06,1,24.97766860902255,26.536270131578924,28.666643421052648,70.1431500244361,81.76617861466165,89.11937237030074,1,25813,427,0.2305074325,0.96850425,2.134657625,0,0,0
2023-07,2023,07,0,23.65954285714286,26.8639,31.091617142857142,50.21328719142858,71.97240911714286,87.27172168285713,1,25813,427,0.0,0.0,0.0,0,0,0
2023-08,2023,08,2,23.320528571428547,27.07017857142855,32.201925,43.938471428571404,69.37727500000001,87.86383571428573,1,25813,427,0.423455975,1.9370085,5.18236225,0,0,0
2023-09,2023,09,0,23.804825000000022,27.5089285714286,32.83315714285712,40.335017857142844,66.82136785714283,84.31107142857142,1,25813,427,0.0,0.0,0.0,0,0,0
2023-10,2023,10,1,24.49828,27.617085714285718,32.67988285714286,43.94412285714286,69.13546285714285,85.58887714285716,1,25813,427,0.19263572,0.7748033999999999,3.6951638000000004,0,0,0
2023-11,2023,11,2,24.1721357142857,27.3086607142857,32.12213214285715,46.44543928571428,70.64553928571428,88.07859642857143,1,25813,427,0.44371065,1.9370085,5.123853925,0,0,0
2023-12,2023,12,0,23.646457142857138,26.66953714285716,31.144448571428562,52.80820857142858,76.33508571428573,93.36578571428572,1,25813,427,0.0,0.0,0.0,0,0,0
2024-01,2024,01,0,23.878435714285725,27.058228571428575,31.39595,52.25370000000002,75.56568214285713,94.18443214285713,1,25813,427,0.0,0.0,0.0,0,0,0
2024-02,2024,02,5,23.425475000000024,25.927378571428576,29.3758892857143,67.61414642857142,84.36135000000003,96.05262857142857,1,25813,427,0.46492915749999997,4.84252125,5.4117705,0,0,0
2024-03,2024,03,30,23.26836857142856,25.576128571428576,28.84275714285716,72.98689428571429,87.86561428571429,97.45373999999997,2,25813,427,0.588410337,23.244101999999998,1.817904216,1,0,0
2024-04,2024,04,29,23.108803571428552,25.628842857142875,29.02224285714285,69.8112392857143,86.83234999999999,97.94617857142859,2,25813,427,0.6498581750000001,28.086622499999997,1.2527138,1,0,1
2024-05,2024,05,14,22.906957142857127,25.61274285714285,29.209046428571426,62.81098928571427,83.23750714285714,96.74835714285712,2,25813,427,0.20852500750000003,13.5590595,0.57142481,1,0,0
2024-06,2024,06,53,21.73550857142856,24.91591714285716,28.798705714285717,58.160731428571395,80.27778857142859,95.60707142857142,4,25813,427,0.827970406,41.0645798,1.9762444300000002,1,0,1
2024-07,2024,07,62,21.138217857142877,25.376832142857126,30.6872892857143,40.182242857142846,66.8481464285714,88.30209642857139,4,25813,427,0.48403509749999996,60.047263,1.03533264,0,0,2
2024-08,2024,08,38,21.33158214285715,26.010121428571402,32.243942857142855,33.37283928571425,63.56575714285713,85.71887500000003,1,25813,427,0.25468045,36.803161749999994,0.71936016,0,0,1
2024-09,2024,09,8,22.121771428571456,26.509474285714298,33.07812571428572,32.63879714285714,63.316734285714304,84.23973714285715,1,25813,427,0.0807742496,6.1984272,0.275928264,0,0,0
2024-10,2024,10,5,22.999139285714275,26.572225,32.236421428571425,39.7327892857143,68.34322142857143,88.86963214285714,1,25813,427,0.416514915,4.84252125,1.435801925,0,0,0
2024-11,2024,11,1,23.304964285714274,27.025150000000004,32.75494642857142,38.41457857142855,67.904875,89.34689285714288,1,25813,427,0.221400675,0.96850425,1.42638325,0,0,0
2024-12,2024,12,0,23.450732142857124,26.67959285714285,31.54098214285715,48.66343214285715,74.40844642857144,93.14531428571428,1,25813,427,0.0,0.0,0.0,0,0,0
