SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201530,0,0.0,0.0,1,0.0,15036,22.8571428571429,87.1428571428571,0,0,0,67.0760032857143,48.2857142857143,26.1230061428571,29.2857142857143,513
201529,1,0.2206411,6.650705,1,0.45866793,15036,24.2857142857143,81.1428571428571,0,0,0,68.3018385714286,50.7142857142857,26.5608161428571,29.2857142857143,513
201528,0,0.0,0.0,1,0.0,15036,23.1428571428571,87.4285714285714,0,0,0,68.67868,48.4285714285714,26.2279515714286,29.2857142857143,513
201527,4,0.53361994,26.60282,1,1.0590117,15036,23.7142857142857,87.0,0,0,0,72.5922277142857,51.4285714285714,26.2320318571429,29.2857142857143,513
201526,1,0.037347935,6.650705,1,0.21084468,15036,24.2857142857143,85.5714285714286,0,0,0,73.5831707142857,55.5714285714286,26.4011454285714,29.0,513
201525,5,0.37896246,33.253525,1,0.8357972,15036,23.5714285714286,83.1428571428571,0,0,1,68.7421,47.2857142857143,26.4206715714286,29.4285714285714,513
201524,4,0.1410669,26.60282,1,0.53467745,15036,24.2857142857143,81.5714285714286,0,0,0,67.4016522857143,48.4285714285714,26.9111541428571,29.7142857142857,513
201523,6,0.34583917,39.90423,1,0.8101718,15036,24.2857142857143,84.2857142857143,0,0,1,69.8010214285714,50.1428571428571,27.0051022857143,29.5714285714286,513
201522,7,0.7609275,46.554935,1,1.4984393,15036,24.2857142857143,85.5714285714286,0,0,1,71.5166228571429,51.7142857142857,27.0021392857143,29.7142857142857,513
201521,12,0.99685985,79.80846,1,4.9625897,15036,25.0,85.8571428571429,0,1,2,72.9675422857143,55.2857142857143,27.4701854285714,30.0,513
201520,2,0.632932,13.30141,1,1.3851032,15036,25.2857142857143,82.1428571428571,0,0,0,68.6856085714286,49.7142857142857,27.8870508571429,30.5714285714286,513
201519,2,0.7936543,13.30141,1,2.3849454,15036,24.8571428571429,83.1428571428571,0,0,0,67.0255114285714,48.0,27.7806121428571,30.2857142857143,513
201518,2,0.8656546,13.30141,1,3.5101058,15036,24.8571428571429,85.5714285714286,0,0,0,72.0560507142857,52.4285714285714,27.4428251428571,30.2857142857143,513
201517,0,0.0,0.0,1,0.0,15036,25.0,88.1428571428571,0,0,0,73.58696,56.2857142857143,27.4649657142857,30.0,513
201516,1,0.5172338,6.650705,1,1.0514014,15036,24.7142857142857,87.1428571428571,1,0,0,76.8718562857143,60.8571428571429,26.5584925714286,29.4285714285714,513
201515,0,0.0,0.0,1,0.0,15036,24.4285714285714,90.2857142857143,0,0,0,76.8926265714286,57.1428571428571,26.7428831428571,29.2857142857143,513
201514,1,0.31728396,6.650705,1,0.60380876,15036,24.4285714285714,89.4285714285714,1,0,0,74.5258978571429,55.1428571428571,27.155571,30.0,513
201513,2,0.28341576,13.30141,1,0.62567127,15036,23.8571428571429,92.4285714285714,1,0,0,79.5495478571429,58.8571428571429,26.2551395714286,28.8571428571429,513
201512,0,0.0,0.0,1,0.0,15036,23.7142857142857,94.0,0,0,0,75.7199162857143,55.2857142857143,26.5058055714286,29.5714285714286,513
201511,3,0.20717649,19.952114,1,0.5764437,15036,25.0,85.2857142857143,0,0,0,71.406538,53.1428571428571,27.4959185714286,30.1428571428571,513
201510,7,0.69644356,46.554935,2,1.3299717,15036,24.2857142857143,90.4285714285714,1,0,1,78.38284,62.0,26.3865921428571,28.8571428571429,513
201509,3,0.38752618,19.952114,1,0.812236,15036,23.8571428571429,90.1428571428571,1,0,0,75.6435885714286,55.5714285714286,26.5930677142857,29.4285714285714,513
201508,8,0.99174047,53.20564,1,5.7150526,15036,23.8571428571429,91.8571428571429,1,1,1,80.6850162857143,55.8571428571429,25.75046,28.1428571428571,513
201507,4,0.9926341,26.60282,1,18.510147,15036,25.0,84.4285714285714,0,0,0,72.7504057142857,57.0,27.0663008571429,29.2857142857143,513
201506,0,0.0,0.0,1,0.0,15036,26.2857142857143,75.8571428571429,0,0,0,63.7498098571429,43.7142857142857,28.3531747142857,31.1428571428571,513
201505,0,0.0,0.0,1,0.0,15036,26.0,79.1428571428571,0,0,0,67.7091842857143,48.7142857142857,27.9132652857143,31.0,513
201504,0,0.0,0.0,1,0.0,15036,25.4285714285714,77.0,0,0,0,63.9591832857143,44.5714285714286,27.5459184285714,30.2857142857143,513
201503,0,0.0,0.0,1,0.0,15036,25.7142857142857,77.5714285714286,0,0,0,66.2806132857143,50.1428571428571,27.5153064285714,30.0,513
201502,0,0.0,0.0,1,0.0,15036,25.5714285714286,78.0,0,0,0,65.6936494285714,45.2857142857143,27.5246031428571,30.2857142857143,513
201501,1,0.9632679,6.650705,1,18.521618,15036,25.2857142857143,78.4285714285714,0,0,0,67.9476581428571,49.5714285714286,27.0319351428571,29.0,513
201453,0,0.0,0.0,1,0.0,15036,24.8571428571429,81.2857142857143,0,0,0,69.1279314285714,50.7142857142857,26.8700254285714,29.2857142857143,513
201452,0,0.0,0.0,1,0.0,15036,26.0,72.8571428571429,0,0,0,63.0408165714286,45.2857142857143,27.632653,30.1428571428571,513
201451,0,0.0,0.0,1,0.0,15036,25.4285714285714,77.0,0,0,0,64.2077765714286,46.0,27.447572,30.0,513
201450,0,0.0,0.0,1,0.0,15036,25.5714285714286,76.4285714285714,0,0,0,64.5564752857143,47.7142857142857,27.5589374285714,30.5714285714286,513
201449,0,0.0,0.0,1,0.0,15036,25.4285714285714,77.2857142857143,0,0,0,65.6341328571429,46.0,27.3459677142857,30.2857142857143,513
201448,0,0.0,0.0,1,0.0,15036,24.8571428571429,80.4285714285714,0,0,0,65.0729418571429,46.4285714285714,27.218719,30.1428571428571,513
201447,0,0.0,0.0,1,0.0,15036,25.1428571428571,79.5714285714286,0,0,0,65.9693881428571,47.2857142857143,27.2493417142857,30.0,513
201446,0,0.0,0.0,1,0.0,15036,25.4285714285714,74.5714285714286,0,0,0,64.403062,46.2857142857143,27.2602042857143,29.8571428571429,513
201445,0,0.0,0.0,1,0.0,15036,25.0,77.1428571428571,0,0,0,63.6275514285714,47.0,27.0816325714286,29.7142857142857,513
201444,0,0.0,0.0,1,0.0,15036,25.2857142857143,74.4285714285714,0,0,0,62.3212521428571,42.1428571428571,27.2454257142857,30.2857142857143,513
201443,0,0.0,0.0,1,0.0,15036,25.1428571428571,75.7142857142857,0,0,0,62.2636214285714,42.5714285714286,27.1776432857143,29.8571428571429,513
201442,0,0.0,0.0,1,0.0,15036,25.1428571428571,72.7142857142857,0,0,0,60.0459175714286,40.4285714285714,27.4368858571429,30.4285714285714,513
201441,0,0.0,0.0,1,0.0,15036,25.0,74.1428571428571,0,0,0,60.4032371428571,36.5714285714286,27.5168892857143,30.8571428571429,513
201440,0,0.0,0.0,1,0.0,15036,25.0,78.4285714285714,0,0,0,65.6164018571429,45.5714285714286,27.0876791428571,29.5714285714286,513
201439,2,0.9779825,13.30141,1,18.521618,15036,25.0,75.5714285714286,0,0,0,64.0316684285714,46.4285714285714,27.0749468571429,30.1428571428571,513
